id;svc_schedule_unit_id;is_published;status;approved;approved_id;comment;create_date;last_modified_date;create_by;create_by_id;last_modified_by;last_modified_by_id
1;65247;18468;applications orchestration 1080p;magenta pink;67552;transmitter ivory;2021-09-10;2021-09-10;Forward;93107;Towels compressing;85324
2;73389;5993;deposit Senior;Automated content-based yellow;60147;value-added algorithm;2021-09-10;2021-09-10;Loan;5708;online;99329
3;2924;67166;monitoring Cambodia;Games Chair repurpose;1168;Riyal;2021-09-09;2021-09-10;COM disintermediate;92327;invoice communities;964
4;44961;94606;Switzerland;Dynamic Massachusetts;24049;Sausages internet;2021-09-09;2021-09-09;hacking Investor withdrawal;15760;Forest RSS;90671
5;64018;9723;Account;card JSON generating;22647;Lead withdrawal;2021-09-10;2021-09-09;Shoal impactful Chair;96911;Regional;19266
6;36287;90204;Principal Division;Identity;86560;XML sensor;2021-09-09;2021-09-10;Car Executive;33190;Executive Mobility;16053
7;25934;3235;Kina Computer Concrete;Keyboard Programmable;91986;Colorado Cheese Direct;2021-09-10;2021-09-09;Automotive;77857;application;95906
8;31712;92512;Corporate;FTP Litas;94458;e-business;2021-09-09;2021-09-10;Crossing Intranet Frozen;41636;Mobility Borders product;68043
9;45533;35667;full-range Fantastic salmon;generate;66128;Designer;2021-09-10;2021-09-10;database;481;Lights;78204
10;39861;97294;microchip;Strategist;20877;interface THX;2021-09-10;2021-09-09;Music;1362;Tasty;99113
