id;start_from;end_at;actual_start_from;actual_end_at;schedule_quantity;actual_quantity;applied_date;status;planed_note;laborer_note;supervisor_note
1;2021-07-30T10:13:27;2021-07-30T19:22:53;2021-07-31T04:42:37;2021-07-30T15:05:31;19566;10273;2021-07-31;CANCEL;payment payment;tan Toys;Handmade Orchestrator
2;2021-07-30T11:54:08;2021-07-30T13:35:52;2021-07-30T19:51:46;2021-07-30T09:53:02;49286;32352;2021-07-30;FINISHED;solutions synthesize;Sports;Assurance Krona Berkshire
3;2021-07-30T09:40:07;2021-07-30T11:05:30;2021-07-31T01:48:33;2021-07-30T16:12:10;91229;58682;2021-07-30;CANCEL;Fresh Chief;redundant systems;deposit deliverables networks
4;2021-07-30T10:35:48;2021-07-31T00:24:52;2021-07-30T21:27:06;2021-07-30T09:38:19;69347;74863;2021-07-30;PLANED;state;white payment Berkshire;Rubber
5;2021-07-30T15:22:57;2021-07-30T07:34:32;2021-07-30T20:08:47;2021-07-30T10:03:54;91730;95648;2021-07-31;UNFINISHED;deposit;Mississippi Gold;neural program
6;2021-07-30T18:49:35;2021-07-31T04:32:54;2021-07-30T08:18:52;2021-07-31T06:46:36;25164;20096;2021-07-30;CANCEL;Pizza;facilitate Cheese;black Intelligent payment
7;2021-07-30T23:33:45;2021-07-30T07:18:37;2021-07-30T12:13:26;2021-07-30T17:17:28;38274;23039;2021-07-30;PLANED;Hawaii Research Diverse;protocol Pitcairn;strategize Developer morph
8;2021-07-30T16:05:15;2021-07-30T17:07:10;2021-07-30T16:01:26;2021-07-30T09:54:06;55742;675;2021-07-30;UNFINISHED;Loan;Run Dynamic;payment programming action-items
9;2021-07-30T07:16:35;2021-07-30T21:26:54;2021-07-30T08:56:24;2021-07-30T08:24:38;74910;5061;2021-07-30;UNFINISHED;best-of-breed;Track Streamlined Massachusetts;Direct
10;2021-07-30T19:15:27;2021-07-30T18:07:55;2021-07-31T01:19:55;2021-07-31T00:48:28;50994;70599;2021-07-30;PLANED;Trail Intelligent Customer;parsing Optimization;Row
